FID,Shape,class,class_code,comm_code,comm_struc,name,sector,srg,Area_sq_m
8,Polygon,Industrial,2,RYV,EMPLOYMENT,ROYAL VISTA,NORTHWEST,N/A,1313170
92,Polygon,Residential,1,RUN,1960s/1970s,RUNDLE,NORTHEAST,BUILT-OUT,2641710
209,Polygon,Residential,1,RUT,1950s,RUTLAND PARK,WEST,BUILT-OUT,681108
106,Polygon,Residential,1,SAD,2000s,SADDLE RIDGE,NORTHEAST,DEVELOPING,5595620
151,Polygon,Industrial,2,SRI,EMPLOYMENT,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,2538990
155,Polygon,Residential,1,SGH,BUILDING OUT,SAGE HILL,NORTH,DEVELOPING,3768670
226,Polygon,Residential,1,SAN,1980s/1990s,SANDSTONE VALLEY,NORTH,BUILT-OUT,1800750
104,Polygon,Residential,1,SCA,INNER CITY,SCARBORO,CENTRE,BUILT-OUT,453775
192,Polygon,Residential,1,SSW,1950s,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,352765
271,Polygon,Residential,1,SCE, ,SCENIC ACRES,NORTHWEST,BUILT-OUT,4375050
163,Polygon,Industrial,2,S23,EMPLOYMENT,SECTION 23,SOUTHEAST,N/A,3116530
305,Polygon,Residential,1,SET,BUILDING OUT,SETON,SOUTHEAST,DEVELOPING,4578340
238,Polygon,Residential,1,SHG,1950s,SHAGANAPPI,CENTRE,BUILT-OUT,1480020
221,Polygon,Residential,1,SHS,1980s/1990s,SHAWNEE SLOPES,SOUTH,BUILT-OUT,1241790
224,Polygon,Residential,1,SHN,1980s/1990s,SHAWNESSY,SOUTH,BUILT-OUT,3658260
30,Polygon,Industrial,2,SHI,EMPLOYMENT,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,4220680
69,Polygon,Residential,1,SHW,2000s,SHERWOOD,NORTH,DEVELOPING,2393460
129,Polygon,Residential,1,SIG,1980s/1990s,SIGNAL HILL,WEST,BUILT-OUT,5557860
22,Polygon,Residential,1,SIL,1960s/1970s,SILVER SPRINGS,NORTHWEST,BUILT-OUT,4979330
274,Polygon,Residential,1,SVO,BUILDING OUT,SILVERADO,SOUTH,DEVELOPING,5111350
170,Polygon,Industrial,2,SKE,EMPLOYMENT,SKYLINE EAST,NORTHEAST,N/A,540849
157,Polygon,Industrial,2,SKW,EMPLOYMENT,SKYLINE WEST,NORTH,N/A,826391
258,Polygon,Residential,1,SKR,2000s,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2310570
215,Polygon,Residential,1,SOM,1980s/1990s,SOMERSET,SOUTH,BUILT-OUT,2344900
158,Polygon,Industrial,2,SAW,EMPLOYMENT,SOUTH AIRWAYS,NORTHEAST,N/A,1892170
243,Polygon,Residential,1,SOC,INNER CITY,SOUTH CALGARY,CENTRE,BUILT-OUT,885687
19,Polygon,Industrial,2,SFH,EMPLOYMENT,SOUTH FOOTHILLS,SOUTHEAST,N/A,3639710
75,Polygon,Residential,1,SOV,1950s,SOUTHVIEW,EAST,BUILT-OUT,1592070
24,Polygon,Residential,1,SOW,1960s/1970s,SOUTHWOOD,SOUTH,BUILT-OUT,2661640
264,Polygon,Residential,1,SPH,BUILDING OUT,SPRINGBANK HILL,WEST,DEVELOPING,6335090
119,Polygon,Residential,1,SPR,1950s,SPRUCE CLIFF,WEST,BUILT-OUT,1083510
198,Polygon,Residential,1,STA,1950s,ST. ANDREWS HEIGHTS,CENTRE,BUILT-OUT,1160660
197,Polygon,Industrial,2,STD,EMPLOYMENT,STARFIELD,EAST,N/A,4196800
54,Polygon,Industrial,2,SGL,EMPLOYMENT,STONEGATE LANDING,NORTHEAST,N/A,5436300
68,Polygon,Industrial,2,ST1,EMPLOYMENT,STONEY 1,NORTH,N/A,6239520
59,Polygon,Industrial,2,ST2,EMPLOYMENT,STONEY 2,NORTHEAST,N/A,3946250
50,Polygon,Industrial,2,ST3,EMPLOYMENT,STONEY 3,NORTHEAST,N/A,1316860
203,Polygon,Industrial,2,ST4,EMPLOYMENT,STONEY 4,NORTHEAST,N/A,4335080
145,Polygon,Residential,1,STR,1980s/1990s,STRATHCONA PARK,WEST,BUILT-OUT,2687380
0,Polygon,Residential,1,SNA,INNER CITY,SUNALTA,CENTRE,BUILT-OUT,941005
117,Polygon,Residential,1,SDC,1980s/1990s,SUNDANCE,SOUTH,BUILT-OUT,4022080
109,Polygon,Residential,1,SSD,INNER CITY,SUNNYSIDE,CENTRE,BUILT-OUT,1022400
133,Polygon,Industrial,2,SUN,EMPLOYMENT,SUNRIDGE,NORTHEAST,N/A,2262080
161,Polygon,Residential,1,TAR,2000s,TARADALE,NORTHEAST,DEVELOPING,2844450
179,Polygon,Residential,1,TEM,1960s/1970s,TEMPLE,NORTHEAST,BUILT-OUT,2625340
176,Polygon,Residential,1,THO,1950s,THORNCLIFFE,NORTH,BUILT-OUT,3270850
36,Polygon,Residential,1,TUS,2000s,TUSCANY,NORTHWEST,BUILT-OUT,6837930
150,Polygon,Residential,1,TUX,INNER CITY,TUXEDO PARK,CENTRE,BUILT-OUT,1323060
219,Polygon,Residential,1,UND,OTHER,UNIVERSITY DISTRICT,NORTHWEST,BUILT-OUT,1153030
132,Polygon,Residential,1,UNI,1960s/1970s,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,817360
4,Polygon,Residential,1,UOC,OTHER,UNIVERSITY OF CALGARY,NORTHWEST,BUILT-OUT,1501590
211,Polygon,Residential,1,UMR,INNER CITY,UPPER MOUNT ROYAL,CENTRE,BUILT-OUT,1276070
168,Polygon,Residential,1,VAL,2000s,VALLEY RIDGE,WEST,BUILT-OUT,3317900
235,Polygon,Industrial,2,VAF,EMPLOYMENT,VALLEYFIELD,EAST,N/A,1209090
228,Polygon,Residential,1,VAR,1960s/1970s,VARSITY,NORTHWEST,BUILT-OUT,6850330
31,Polygon,Residential,1,VIS,1960s/1970s,VISTA HEIGHTS,NORTHEAST,BUILT-OUT,1140240
298,Polygon,Residential,1,WAL,BUILDING OUT,WALDEN,SOUTH,DEVELOPING,2459530
