CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,location
Residential,1,OAK,OAKRIDGE,SOUTH,BUILT-OUT,1960s/1970s,-114.12960912993,50.9697391639021,"(50.969739163902, -114.12960912993)"
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS,-114.111586533219,51.112488687563,"(51.112488687563, -114.111586533219)"
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,BUILDING OUT,-114.163858380502,51.1754947953119,"(51.175494795312, -114.163858380502)"
Residential,1,NHV,NORTH HAVEN,NORTH,BUILT-OUT,1960s/1970s,-114.087941023986,51.0970046689823,"(51.097004668982, -114.087941023986)"
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,BUILT-OUT,1960s/1970s,-114.087062763774,51.1032163514553,"(51.103216351455, -114.087062763774)"
Residential,1,NGM,NORTH GLENMORE PARK,WEST,BUILT-OUT,1950s,-114.112246337634,51.0014223871043,"(51.001422387104, -114.112246337634)"
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.945245965549,50.9220475522194,"(50.922047552219, -113.945245965549)"
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,-114.010879790182,51.0871402801524,"(51.087140280152, -114.010879790182)"
Residential,1,MRT,MARTINDALE,NORTHEAST,BUILT-OUT,1980s/1990s,-113.958387056721,51.1179108265045,"(51.117910826505, -113.958387056721)"
Residential,1,MRL,MARLBOROUGH,NORTHEAST,BUILT-OUT,1960s/1970s,-113.969987699922,51.0595459680695,"(51.05954596807, -113.969987699922)"
Residential,1,MPL,MAPLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,-114.034676279795,50.9576388103996,"(50.9576388104, -114.034676279795)"
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,BUILT-OUT,1960s/1970s,-113.94671807457,51.0596961458062,"(51.059696145806, -113.94671807457)"
Residential,1,MOR,MONTEREY PARK,NORTHEAST,BUILT-OUT,2000s,-113.926871436595,51.081459900409,"(51.081459900409, -113.926871436595)"
Residential,1,MOP,MOUNT PLEASANT,CENTRE,BUILT-OUT,INNER CITY,-114.076700772875,51.0742412336192,"(51.074241233619, -114.076700772875)"
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,-114.162261375791,51.0710992820493,"(51.071099282049, -114.162261375791)"
Industrial,2,MNI,MANCHESTER INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,-114.057268867313,51.0132631373253,"(51.013263137325, -114.057268867313)"
Residential,1,MLR,MILLRISE,SOUTH,BUILT-OUT,1980s/1990s,-114.084906537361,50.9170446421221,"(50.917044642122, -114.084906537361)"
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT,-114.010296484868,51.0523937443308,"(51.052393744331, -114.010296484868)"
Residential,1,MIS,MISSION,CENTRE,BUILT-OUT,INNER CITY,-114.066321693987,51.0310903237998,"(51.0310903238, -114.066321693987)"
Residential,1,MID,MIDNAPORE,SOUTH,BUILT-OUT,1960s/1970s,-114.055721632387,50.9139069919427,"(50.913906991943, -114.055721632387)"
Industrial,2,MER,MERIDIAN,NORTHEAST,N/A,EMPLOYMENT,-113.996512939974,51.056586672185,"(51.056586672185, -113.996512939974)"
Residential,1,MEA,MEADOWLARK PARK,CENTRE,BUILT-OUT,1950s,-114.077355437713,50.9978331189624,"(50.997833118962, -114.077355437713)"
Residential,1,MDH,MEDICINE HILL,WEST,BUILT-OUT,2000s,-114.200053267025,51.0792910779606,"(51.079291077961, -114.200053267025)"
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.96147703565,50.9171357418281,"(50.917135741828, -113.96147703565)"
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,1980s/1990s,-113.988177442487,50.9148809594027,"(50.914880959403, -113.988177442487)"
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT,-114.027096264764,51.0889975113016,"(51.088997511302, -114.027096264764)"
Residential,1,MAN,MANCHESTER,CENTRE,BUILT-OUT,EMPLOYMENT,-114.066643188843,51.0062353881821,"(51.006235388182, -114.066643188843)"
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,BUILT-OUT,1960s/1970s,-114.013324464719,51.060827539283,"(51.060827539283, -114.013324464719)"
Residential,1,MAH,MAHOGANY,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.924527905871,50.8959550399888,"(50.895955039989, -113.924527905871)"
Residential,1,MAF,MAYFAIR,CENTRE,BUILT-OUT,1950s,-114.088959076983,50.9958040850628,"(50.995804085063, -114.088959076983)"
Residential,1,MAC,MACEWAN GLEN,NORTH,BUILT-OUT,1980s/1990s,-114.115227027017,51.1377195777681,"(51.137719577768, -114.115227027017)"
Residential,1,LPK,LINCOLN PARK,WEST,BUILT-OUT,1950s,-114.129822732435,51.0100946930727,"(51.010094693073, -114.129822732435)"
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,-114.08650004594,51.0364833936673,"(51.036483393667, -114.08650004594)"
Residential,1,LKV,LAKEVIEW,WEST,BUILT-OUT,1960s/1970s,-114.129634105238,50.9997806571053,"(50.999780657105, -114.129634105238)"
Residential,1,LKB,LAKE BONAVISTA,SOUTH,BUILT-OUT,1960s/1970s,-114.051323090444,50.9398121009244,"(50.939812100924, -114.051323090444)"
Residential,1,LIV,LIVINGSTON,NORTH,DEVELOPING,BUILDING OUT,-114.065501684769,51.1855651086554,"(51.185565108655, -114.065501684769)"
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,-114.005999006031,50.8576170329455,"(50.857617032946, -114.005999006031)"
Residential,1,KSH,KEYSTONE HILLS,NORTH,DEVELOPING,BUILDING OUT,-114.026377993256,51.1795592507165,"(51.179559250717, -114.026377993256)"
Residential,1,KIN,KINGSLAND,SOUTH,BUILT-OUT,1950s,-114.077357546197,50.9868894118689,"(50.986889411869, -114.077357546197)"
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,BUILT-OUT,1950s,-114.1317137492,51.0315480348834,"(51.031548034883, -114.1317137492)"
Residential,1,KEL,KELVIN GROVE,SOUTH,BUILT-OUT,1960s/1970s,-114.089257993106,50.9898195965421,"(50.989819596542, -114.089257993106)"
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s,-114.133970781784,51.1602850386741,"(51.160285038674, -114.133970781784)"
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,-114.022850289695,51.0372709081066,"(51.037270908107, -114.022850289695)"
Residential,1,HUN,HUNTINGTON HILLS,NORTH,BUILT-OUT,1960s/1970s,-114.066701147221,51.1175839084205,"(51.117583908421, -114.066701147221)"
Residential,1,HSN,HASKAYNE,NORTHWEST,DEVELOPING,BUILDING OUT,-114.286631687736,51.1169434798511,"(51.116943479851, -114.286631687736)"
Residential,1,HSD,HOMESTEAD,NORTHEAST,DEVELOPING,BUILDING OUT,-113.916498482126,51.1216297968617,"(51.121629796862, -113.916498482126)"
Residential,1,HPK,HIGHLAND PARK,CENTRE,BUILT-OUT,1950s,-114.062066898001,51.0880232734306,"(51.088023273431, -114.062066898001)"
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,BUILT-OUT,1950s,-114.105730241375,51.0632029346957,"(51.063202934696, -114.105730241375)"
Industrial,2,HOR,HORIZON,NORTHEAST,N/A,EMPLOYMENT,-113.991698149454,51.0887646703435,"(51.088764670344, -113.991698149454)"
Residential,1,HKS,HOTCHKISS,SOUTHEAST,DEVELOPING,2000s,-113.89633107986,50.9142175194029,"(50.914217519403, -113.89633107986)"
Residential,1,HIW,HIGHWOOD,CENTRE,BUILT-OUT,1950s,-114.079905386226,51.0923544731058,"(51.092354473106, -114.079905386226)"
Residential,1,HIL,HILLHURST,CENTRE,BUILT-OUT,INNER CITY,-114.093660929671,51.0572681493377,"(51.057268149338, -114.093660929671)"
Industrial,2,HIF,HIGHFIELD,CENTRE,N/A,EMPLOYMENT,-114.037208519419,51.0182968576421,"(51.018296857642, -114.037208519419)"
Residential,1,HID,HIDDEN VALLEY,NORTH,BUILT-OUT,1980s/1990s,-114.119598830601,51.1519170345778,"(51.151917034578, -114.119598830601)"
Residential,1,HAY,HAYSBORO,SOUTH,BUILT-OUT,1950s,-114.083350934546,50.9722169266415,"(50.972216926642, -114.083350934546)"
Residential,1,HAW,HAWKWOOD,NORTHWEST,BUILT-OUT,1980s/1990s,-114.175620495809,51.1309717848102,"(51.13097178481, -114.175620495809)"
Residential,1,HAR,HARVEST HILLS,NORTH,BUILT-OUT,1980s/1990s,-114.052778917711,51.1476757387929,"(51.147675738793, -114.052778917711)"
Residential,1,HAM,HAMPTONS,NORTHWEST,BUILT-OUT,2000s,-114.146737206735,51.145106386475,"(51.145106386475, -114.146737206735)"
Industrial,2,GTI,GOLDEN TRIANGLE,EAST,N/A,EMPLOYMENT,-113.987569183055,51.0115139605163,"(51.011513960516, -113.987569183055)"
Residential,1,GRV,GREENVIEW,CENTRE,BUILT-OUT,1960s/1970s,-114.057466114825,51.0948559537504,"(51.09485595375, -114.057466114825)"
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,CENTRE,N/A,EMPLOYMENT,-114.047038224839,51.0887774496914,"(51.088777449691, -114.047038224839)"
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,BUILT-OUT,1960s/1970s,-114.222858521853,51.0899715360962,"(51.089971536096, -114.222858521853)"
Major Park,3,GPK,GLENMORE PARK,SOUTH,N/A,PARKS,-114.131535599359,50.9904556913229,"(50.990455691323, -114.131535599359)"
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT,-113.93993754574,50.986916921611,"(50.986916921611, -113.93993754574)"
Residential,1,GLA,GLAMORGAN,WEST,BUILT-OUT,1950s,-114.152862528799,51.0155133915799,"(51.01551339158, -114.152862528799)"
