,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg,goals_avg,shots_avg,hits_avg,pim_avg,powerPlayOpportunities_avg,powerPlayGoals_avg,faceOffWinPercentage_avg,giveaways_avg,takeaways_avg
28,2018020029,2018-10-07,Hurricanes,8,Rangers,5,H,H_reg,1,"2018-10-07 - Rangers 5, Hurricanes 8",Carolina Hurricanes,60.0,11.5,-13.0,9.724999999999994,5.5,-5.5,5.535000000000004,0.5,-5.0,4.75,0.5,-1.5,21.665,0.31000000000000005,-0.2649999999999997,5.119999999999997,10.0,0.5,6.445000000000007,0.0,1.5,-3.519999999999996,-0.5,0.0,1.0450000000000017,-0.5,0.0,0.0,-4.030000000000001,3.335000000000008,10.0,-1.0,15.754999999999995,6.0,0.0,18.045,1.0,-0.5,50.0,14.285,8.174999999999997,5.0,-12.0,15.930000000000007,-4.5,-6.0,8.874999999999993,0.0,-0.5,25.0,0.0,3.569999999999993,1.455,3.155000000000001,0.04600000000000004,-7.5,0.5,0.5,2.0,-5.5,0.0,0.0,3.200000000000003,2.5,6.0
29,2018020030,2018-10-07,Blackhawks,6,Maple Leafs,7,H,A_OT,0,"2018-10-07 - Maple Leafs 7, Blackhawks 6",Chicago Blackhawks,60.316666666667004,-6.5,-2.0,-2.864999999999995,0.5,-0.5,-0.5100000000000051,5.0,-2.5,5.320000000000007,1.5,0.0,7.600000000000001,-0.8900000000000006,-0.8300000000000001,-0.14499999999999602,-11.5,-2.0,-8.160000000000004,-4.5,-0.5,-11.134999999999998,-2.5,-2.5,-2.980000000000004,1.0,-0.5,12.5,12.5,11.224999999999994,-7.0,-1.5,-6.599999999999994,-2.0,-4.5,10.215000000000003,-0.5,0.0,-8.335,-2.3500000000000014,-9.230000000000018,6.5,0.5,4.4950000000000045,8.5,5.5,0.2950000000000017,1.0,1.0,-25.0,1.6,-6.25,3.160000000000002,0.5300000000000011,0.036499999999999866,-1.5,1.5,5.0,-8.0,3.0,1.0,-1.0,-8.950000000000003,-4.5,-6.5
30,2018020031,2018-10-07,Kings,4,Red Wings,2,H,H_reg,1,"2018-10-07 - Red Wings 2, Kings 4",Los Angeles Kings,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2018020032,2018-10-08,Bruins,6,Senators,3,H,H_reg,1,"2018-10-08 - Senators 3, Bruins 6",Boston Bruins,60.0,1.0,-15.5,5.960000000000001,1.5,-5.5,3.595000000000006,1.0,-5.5,4.525000000000006,-2.0,0.0,-2.6799999999999997,-0.11500000000000021,-0.7150000000000003,2.1400000000000006,-8.5,-10.5,-1.5300000000000011,-4.5,-6.0,-0.1600000000000037,-2.0,-1.0,-9.719999999999999,-1.5,1.5,-50.0,-27.619999999999997,-21.430000000000007,-4.0,-4.5,-2.3500000000000014,-1.0,0.0,-3.2150000000000034,0.0,-1.0,8.335,-2.085000000000001,9.775000000000006,7.0,-6.0,11.000000000000007,1.5,-4.5,7.240000000000002,0.0,-0.5,25.0,0.0,-0.08499999999999375,-8.724999999999998,-0.7550000000000097,-0.09449999999999992,-10.0,-2.0,1.0,-3.5,14.0,-1.0,0.0,4.849999999999994,-9.0,-5.0
32,2018020033,2018-10-08,Islanders,4,Sharks,0,H,H_reg,1,"2018-10-08 - Sharks 0, Islanders 4",New York Islanders,60.0,-23.5,19.5,-17.230000000000004,-21.5,19.0,-22.545,-8.5,16.5,-21.895000000000003,0.0,-1.0,10.480000000000004,-0.7750000000000004,-0.050000000000000266,-6.175000000000011,-8.0,7.5,-12.690000000000005,-4.0,0.0,-10.195,-3.0,0.5,-14.015000000000008,0.0,-0.5,0.0,0.0,12.780000000000001,-4.0,7.5,-14.625,-1.5,6.5,-23.215000000000003,0.5,0.0,16.664999999999992,6.664999999999999,10.715000000000003,-17.5,9.5,-23.940000000000005,-4.0,8.0,-27.35499999999999,-0.5,-0.5,0.0,-4.545,7.14500000000001,2.5950000000000006,11.644999999999996,0.14250000000000007,0.5,0.0,-8.5,4.0,-3.0,0.5,1.0,-0.3499999999999943,-0.5,4.5
33,2018020034,2018-10-08,Sabres,4,Golden Knights,2,H,H_reg,1,"2018-10-08 - Golden Knights 2, Sabres 4",Buffalo Sabres,60.0,-5.0,11.5,-6.68,-3.0,8.0,-5.750000000000007,-3.0,7.5,-6.714999999999996,0.0,-0.5,-1.7849999999999966,-0.6349999999999998,1.0950000000000002,-15.740000000000009,-10.5,1.0,-10.925000000000004,-6.5,-1.0,-14.315000000000005,-4.5,-1.5,-8.969999999999999,0.0,0.0,-12.5,4.170000000000001,-7.914999999999992,-4.0,2.0,-10.129999999999995,0.5,2.5,-9.585000000000008,0.5,0.0,0.0,9.285,16.670000000000016,5.5,7.5,-0.7900000000000063,1.5,6.0,-1.2000000000000028,-0.5,-0.5,0.0,-7.145,2.9399999999999977,-0.019999999999999574,2.8400000000000034,0.02849999999999997,3.5,0.0,-3.0,-3.5,0.0,0.0,1.0,3.1999999999999957,4.0,-4.0
34,2018020035,2018-10-08,Ducks,3,Red Wings,2,H,H_reg,1,"2018-10-08 - Red Wings 2, Ducks 3",Anaheim Ducks,65.0,-24.0,13.5,-17.169999999999995,-15.5,12.0,-16.685000000000002,-11.5,5.0,-15.090000000000003,1.0,-2.5,49.050000000000004,-0.7800000000000002,0.7999999999999998,-13.375,-16.0,7.5,-20.975,-4.5,-0.5,-10.719999999999999,-3.0,-1.0,-9.84,0.5,-1.0,66.66499999999999,18.335,9.400000000000006,-11.5,8.0,-29.185000000000002,-3.5,6.5,-32.989999999999995,0.0,0.5,0.0,15.91,0.0,-7.5,9.5,-17.819999999999993,-5.5,0.0,-12.89,0.5,-1.5,75.0,7.145,12.629999999999995,11.535,8.814999999999998,0.20350000000000001,1.5,1.0,-11.5,5.0,-11.5,-1.0,-0.5,0.75,-7.5,3.5
35,2018020036,2018-10-09,Flyers,2,Sharks,8,H,A_reg,0,"2018-10-09 - Sharks 8, Flyers 2",Philadelphia Flyers,60.0,-17.16666666666667,13.333333333333336,-14.056666666666672,-13.666666666666664,8.166666666666664,-13.843333333333334,-2.6666666666666643,8.0,-10.541666666666671,1.8333333333333333,-0.16666666666666652,20.47666666666667,-0.7083333333333335,0.648333333333333,-12.340000000000003,-7.166666666666664,10.666666666666668,-16.468333333333334,-2.5,3.0,-13.09333333333334,-1.166666666666666,3.5,-14.096666666666671,1.3333333333333335,-0.3333333333333335,33.33333333333333,14.738333333333333,15.533333333333331,-4.666666666666668,7.666666666666666,-20.058333333333337,-3.166666666666666,3.333333333333333,-24.80833333333333,0.8333333333333334,-0.16666666666666663,25.0,30.833333333333332,12.12166666666667,-12.0,2.666666666666668,-14.661666666666676,-0.16666666666666607,0.3333333333333339,-2.2649999999999935,-0.3333333333333333,0.6666666666666667,-50.0,-3.03,-6.926666666666662,7.655,7.5816666666666634,0.15216666666666678,5.166666666666666,1.8333333333333333,-2.6666666666666643,12.0,2.0,0.16666666666666652,0.5,-1.2000000000000028,-3.833333333333334,-2.833333333333333
36,2018020037,2018-10-09,Hurricanes,5,Canucks,3,H,H_reg,1,"2018-10-09 - Canucks 3, Hurricanes 5",Carolina Hurricanes,60.0,34.83333333333333,-25.0,25.49333333333334,28.0,-15.833333333333336,24.631666666666668,18.833333333333336,-10.666666666666668,24.104999999999997,-0.5,-1.8333333333333335,2.7283333333333317,1.3616666666666672,-2.3466666666666667,25.71333333333334,11.5,-14.666666666666668,20.65,2.5,-4.5,11.841666666666669,0.16666666666666607,-3.333333333333334,11.448333333333338,-1.5,0.0,-0.18666666666666742,-17.724999999999998,0.2566666666666464,9.0,-10.166666666666666,27.694999999999997,5.333333333333334,-5.0,31.39,0.8333333333333333,-1.3333333333333335,31.66666666666667,4.43,5.0933333333333195,21.833333333333336,-11.0,35.17666666666666,13.666666666666668,-3.666666666666666,39.199999999999996,0.6666666666666666,-0.5,41.66666666666667,3.3333333333333335,3.335000000000008,-10.62333333333333,0.9983333333333348,-0.09616666666666662,-9.166666666666666,-0.5,18.833333333333336,9.333333333333332,-8.166666666666668,-0.8333333333333335,-0.6666666666666667,10.883333333333333,3.333333333333334,3.833333333333334
37,2018020038,2018-10-09,Blue Jackets,5,Avalanche,2,H,H_reg,1,"2018-10-09 - Avalanche 2, Blue Jackets 5",Columbus Blue Jackets,60.0,-0.5,-4.0,1.1950000000000003,2.5,-2.5,2.9399999999999977,-2.0,-1.5,-0.1600000000000037,-2.5,1.0,-33.215,-0.5749999999999997,-0.355,0.2749999999999986,-4.5,-5.0,1.384999999999998,5.0,-2.0,14.335,3.0,-0.5,9.905000000000001,-1.5,0.5,-29.17000000000001,-21.455,-9.519999999999982,-9.5,-3.0,-7.605000000000004,-6.0,-1.0,-15.700000000000003,-1.0,0.5,-25.0,-1.6899999999999995,-10.120000000000005,2.0,1.5,0.7650000000000006,2.0,0.0,3.144999999999996,0.0,0.0,0.0,-1.915,0.0,-6.734999999999999,-4.199999999999989,-0.10899999999999999,-1.5,-2.5,-2.0,-5.5,-6.0,1.0,-0.5,8.849999999999994,1.0,-1.5
