name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Guru,Beat Salad To Date,0.716,0.58,10,-12.747,0,0.239,6.71e-6,0.707,99.077,4,64J8girYqmK86ebqBayrjQ,Loungin',54,Jazzmatazz Volume 1,1993-01-01,A#,minor,A# minor,279640
Digable Planets,Beat Salad To Date,0.715,0.427,10,-14.813,0,0.236,0.00273,0.456,103.29,4,5snUbps5KleLIP0cVI72lP,It's Good To Be Here,38,Reachin' (A New Refutation Of Time And Space),1993-01-01,A#,minor,A# minor,306026
Common,Beat Salad To Date,0.769,0.682,1,-12.584,1,0.354,3.84e-4,0.433,91.486,4,0JKjuvDUPrnlblAZyB1Aje,Resurrection,55,Resurrection,1994-10-25,C#,major,C# major,227826
Miles Davis,Beat Salad To Date,0.669,0.783,7,-4.692,1,0.208,0.00517,0.75,88.009,4,28IDISyL4r5E5PXP0aQMnl,The Doo-Bop Song,45,Doo-Bop,1992-06-26,G,major,G major,297440
Lou Rawls,Beat Salad To Date,0.827,0.42,0,-15.299,0,0.0964,0.00875,0.747,92.923,4,5wK9u9A4mDMLy8oaZOTI9K,Lifetime Monologue - Remastered,18,The Edge: David Axelrod At Capitol Records 1966-1970,2005-01-01,C,minor,C minor,111586
Doug Lucas,Beat Salad To Date,0.647,0.44,5,-12.45,1,0.0348,0.749,0.554,101.245,4,0COMKcYYP2AKhEVsf7DyKX,One For You,9,Funky Chicken: Belgian Grooves From The 70's,2014-11-10,F,major,F major,382666
Howiewonder,Beat Salad To Date,0.565,0.152,0,-19.566,0,0.294,0.869,0.736,69.63,4,02kaGXtjxqT2iYWx3Ugoe9,Within,1,Float,2019-03-28,C,minor,C minor,171428
DJ Mitsu The Beats,Beat Salad To Date,0.71,0.732,0,-6.474,1,0.0577,0.0925,0.509,92.991,4,3Pd9iBmTeeDXBjdlCQ73gg,Right Here,24,New Awakening,2007-02-15,C,major,C major,289506
Ahmad Jamal Trio,Beat Salad To Date,0.314,0.336,5,-15.307,0,0.0278,0.887,0.258,78.682,4,5oSVYKZLKGCmwYqmJ7AZnO,I Love Music,38,The Awakening,1970,F,minor,F minor,442440
Kraak & Smaak,Beat Salad To Date,0.611,0.644,2,-7.894,1,0.0267,0.127,0.498,109.969,3,4S6mFppaOT9vpPMpZxm7kC,Twilight,30,Pleasure Centre,2019-10-18,D,major,D major,343626
Audrey Ochoa,Beat Salad To Date,0.539,0.444,1,-7.73,1,0.026,0.886,0.317,94.859,4,0GUkFddmThXviF1qp1lUEq,Benchwarming,3,Frankenhorn,2020-01-24,C#,major,C# major,400733
Jazz Liberatorz,Beat Salad To Date,0.566,0.395,7,-11.989,0,0.223,0.00851,0.672,89.926,4,3LGqUhFfPQ26PLU4Ok6ZpU,Clin D'oeil,39,Clin D'oeil,2008-01-21,G,minor,G minor,424160
Chuck Strangers,Beat Salad To Date,0.431,0.476,8,-10.915,1,0.0532,0.945,0.693,77.027,4,50TLJhLJKlMnLzm7u88nEW,Two Pit Bulls - Instrumental,3,Consumers Park (Instrumentals),2018-11-30,G#,major,G# major,100473
Flying Lotus,Beat Salad To Date,0.414,0.928,11,-4.858,0,0.343,0.00787,0.101,136.865,4,5c7XChrHxYaqykCZLaGM5f,Recoiled,32,Cosmogramma,2010-05-03,B,minor,B minor,216573
Jeff Parker,Beat Salad To Date,0.267,0.737,5,-10.417,1,0.061,0.342,0.0421,155.431,4,2t6aF3BwIOKKQSpuHKGDAW,Fusion Swirl,38,Suite for Max Brown,2020-01-24,F,major,F major,332447
Local Talent,Beat Salad To Date,0.354,0.589,8,-11.829,1,0.0402,0.914,0.0566,115.554,4,5hnq1qvar5Vh9hyaM9ZTlj,Skeletons,7,Higienópolis,2019-12-20,G#,major,G# major,332614
[bsd.u],Beat Salad To Date,0.422,0.626,7,-11.801,1,0.306,0.899,0.422,146.242,4,53ASiq2nT0OCLXmKjEXbk7,sniff,27,pook,2017-03-30,G,major,G major,79116
Don_solo,Beat Salad To Date,0.703,0.694,10,-9.056,0,0.0848,0.419,0.574,155.988,4,4crqgIjfryS5KyHE4V59UK,I Almost Fell In Love With You,5,BLESS Vol. 1,2017-05-21,A#,minor,A# minor,112307
BADBADNOTGOOD,Beat Salad To Date,0.424,0.563,4,-8.947,0,0.0407,0.893,0.303,117.706,4,58gf6kYIJs1vM9mQMz8Roh,Eyes Closed,17,III,2014-01-01,E,minor,E minor,358160
Bunko Stew,Beat Salad To Date,0.679,0.326,10,-13.692,1,0.113,0.94,0.168,117.24,4,6WZ5gdbLt88Chbrd7eBND3,Just To Let You Know,12,Take A 15,2017-04-02,A#,major,A# major,140874
Letta Mbulu,Beat Salad To Date,0.575,0.351,4,-15.673,1,0.0601,0.757,0.271,170.597,4,51O4LMxw36RU1s5kr3Eqd4,Pula Yetla,9,The Signs,2005-01-01,E,major,E major,220160
The Roots,Beat Salad To Date,0.86,0.491,11,-6.807,1,0.307,0,0.64,94.131,4,5Kv0SrABtsIyzCniJvR5ih,Dynamite!,11,Things Fall Apart,1999-02-23,B,major,B major,285733
MF DOOM,Beat Salad To Date,0.725,0.626,8,-6.376,0,0.0426,0.436,0.673,84.622,4,4UG3kz6qoHtNI1glQ2wdon,"Greenbacks - 12"" Instrumental Version",23,Operation: Doomsday (Complete),2011-04-26,G#,minor,G# minor,237760
Tom Scott,Beat Salad To Date,0.462,0.784,2,-5.069,0,0.0413,0.0131,0.553,107.66,4,3NnGeD4rLyOOzmlsb2ZLfO,Today,37,The Honeysuckle Breeze,1967,D,minor,D minor,199053
Curtis Mayfield,Beat Salad To Date,0.591,0.637,5,-9.102,0,0.0887,0.0195,0.962,172.452,4,295ykF5lEp4sZseuob1qTu,Give Me Your Love (Love Song),23,Superfly,1972-07-01,F,minor,F minor,260333
Eugene McDaniels,Beat Salad To Date,0.441,0.459,0,-12.174,1,0.0302,2.52e-5,0.524,151.8,4,3d6r8XuRKejXiqXisnMNoi,Freedom Death Dance,19,Headless Heroes of the Apocalypse (US Release),1971,C,major,C major,259373
Ahmad Jamal Trio,Beat Salad To Date,0.478,0.231,4,-18.064,0,0.0302,0.919,0.136,74.937,4,5oSVYKZLKGCmwYqmJ7AZnO,Dolphin Dance,42,The Awakening,1970,E,minor,E minor,309200
HNNY,Beat Salad To Date,0.552,0.447,1,-12.357,1,0.0295,0.931,0.063,87.978,4,7zhdVONU5HcwpbmC7XtXsn,Hosoi,33,Hosoi,2019-09-13,C#,major,C# major,185266
Mark Godfrey,Beat Salad To Date,0.466,0.0554,9,-31.719,1,0.0681,0.955,0.125,103.385,3,6LQYL1VlIiYAURrSc3oMS8,Bucket List,1,Bucket List,2020-01-24,A,major,A major,189388
Underground Canopy,Beat Salad To Date,0.494,0.428,9,-11.628,0,0.0703,0.726,0.536,83.012,4,1bkH7ImNkAY7NVH6P2Hw2r,UC Visions,32,UC Visions,2019-12-26,A,minor,A minor,620731
"Soil & ""Pimp"" Sessions",Beat Salad To Date,0.418,0.0665,0,-18.826,1,0.0332,0.00244,0.0383,129.318,4,2EeZCGDC5sJEmZPRyxygda,Bach,9,Man Steals the Stars,2019-12-04,C,major,C major,310333
