name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
The Trammps,Disco,0.599,0.622,7,-9.148,1,0.0417,0.0215,0.724,128.002,4,2nQGPoSiIylXwUcg78PDDB,Life Ain't Been Easy,4,The Trammps III,1977,G,major,G major,197160
The Trammps,Disco,0.696,0.713,5,-13.814,1,0.0504,0.015,0.395,123.068,4,1vP1R14x8ItaHB1PT0zjct,That's Where the Happy People Go,26,Where The Happy People Go,1976,F,major,F major,474266
The Whispers,Disco,0.795,0.573,11,-7.471,0,0.0781,0.0209,0.899,116.541,4,1EaATYESKxC3pW4Whf2VvE,And the Beat Goes On,13,A Night to Remember (Mixed By Tony Okungbowa & Jojoflores),2012-05-01,B,minor,B minor,181533
Titanic,Disco,0.64,0.791,4,-7.806,0,0.0444,0.84,0.918,122.767,4,5vxZm9QdzBB0KjAFLdW4Zo,Sultana,7,Sea Wolf,2016-12-05,E,minor,E minor,252613
Trans-X,Disco,0.7,0.649,7,-9.981,0,0.0331,0.67,0.965,131.056,4,6gMdfh1Dxlt0IU2CqeSa1d,Living On Video,53,Living On Video,1986,G,minor,G minor,354333
Unlimited Touch,Disco,0.697,0.582,11,-12.173,0,0.114,0.344,0.823,115.929,4,31fKBqNpIIRDSiBoTv408q,I Hear Music in the Streets,39,Searching to Find the One,1980,B,minor,B minor,413573
Van McCoy,Disco,0.573,0.552,3,-8.792,0,0.0301,0.795,0.782,116.104,4,11UaN3XDLmV6s610jdz5wM,Love Is the Answer,0,Love Is the Answer,1974,D#,minor,D# minor,200984
Van McCoy,Disco,0.519,0.597,4,-6.872,1,0.0578,0.758,0.627,115.244,4,11UaN3XDLmV6s610jdz5wM,African Symphony,0,Love Is the Answer,1974,E,major,E major,180302
Van McCoy,Disco,0.803,0.905,2,-8.174,0,0.0543,0.484,0.936,115.203,4,5ZxqYgrzpjP9SU1ItBeisA,Party,0,The Real McCoy,1976,D,minor,D minor,250592
Van McCoy,Disco,0.664,0.915,10,-9.076,1,0.0354,0.0166,0.939,111.728,4,25JmXT8zZ11ywvhNboTGvA,Change with the Times,0,The Disco Kid,1975,A#,major,A# major,197712
Van McCoy,Disco,0.534,0.823,7,-7.888,1,0.0348,0.88,0.728,120.673,4,5ZxqYgrzpjP9SU1ItBeisA,"Theme From Star Trek - Music From the TV Series ""Star Trek""",0,The Real McCoy,1976,G,major,G major,279884
Van McCoy,Disco,0.589,0.722,8,-8.376,1,0.0649,8.54e-5,0.748,114.734,4,4UQ1nhFjs54TUCUBGSeC6r,"Hey Girl, Come and Get It - Disco Mix",0,Sweet Rhythm,1979,G#,major,G# major,421703
Van McCoy,Disco,0.613,0.942,0,-6.829,1,0.106,0.397,0.812,110.24,4,2XCExjOlLqfgXdBVd7Zc0z,The Hustle,7,Disco Baby,1975,C,major,C major,244558
Voyage,Disco,0.634,0.816,5,-10.495,1,0.0317,0.559,0.81,128.05,4,4ialwDYlbguQs0POO51ENH,Souvenirs,0,The Best of Voyage,1983-07-01,F,major,F major,389973
