Country,"Fertility rate (births/woman)","Life expectancy at birth (years)",GDP (USD),Population density (people/km2),GDP per capita growth (%/yr),Income per capita (USD),CO2 emissions (tons per capita)
Argentina,2.346,75.278,423627422092.49,14.904301547,9.300128322,8810.359212546,4.607163748
Benin,5.362,59.318,6977040762.19148,81.582644555,-0.715273205,637.332425991,0.553283259
Togo,4.868,57.468,3426022205.75557,118.067273396,3.276567178,433.685841287,0.411144811
Rwanda,4.52,63.433,5849863212.53084,406.945196595,4.591582117,467.437429960,0.058807364
Jamaica,2.173,74.038,13220556882.7046,259.506925208,-1.978737585,4134.572385241,2.596489543
Europe & Central Asia,1.728136102,75.935697409,20960563123621.7,32.380142133,2.230017626,19487.702315008,7.544021154
Comoros,4.754,61.862,907093130.313521,370.602889511,1.325682766,1172.448109281,0.233942107
Post-demographic dividend,1.661633609,79.686083161,42472161836265,34.156052414,2.351153610,32726.330911933,11.090900366
Switzerland,1.52,82.246341463,583783396408.582,198.018747004,1.935532047,63531.518297709,4.983428945
Latin America & Caribbean,2.186402248,74.095607197,5347667372985.87,29.453629592,4.666013474,7419.152731989,2.935527182
Malaysia,2.149,74.493,255016609232.871,85.856140618,5.623537380,6804.800261219,7.745175905
Grenada,2.24,72.867,771013259.259259,312.45,-0.927075160,,2.450810953
San Marino,,,2139072847.68212,520.483333333,-5.916413819,,
IDA total,4.430857794,61.041702554,1474689986027.72,57.240498061,3.807596218,895.546186470,0.525259208
Libya,2.478,72.044,74773444900.5368,3.522320038,3.942229663,8716.151931625,9.997526326
"Congo, Rep.",4.765,60.093,12007880438.6232,12.514585652,5.485794479,492.151010742,0.463337538
Bhutan,2.301,68.384,1585472534.10547,17.984180517,10.560578615,1930.880875321,0.711464428
Austria,1.44,80.580487805,391892746544.69,101.287430159,1.592577128,38977.207127378,8.071131802
Tajikistan,3.599,68.736,5642178579.58438,53.782466419,4.219136546,780.075338087,0.338084867
Sub-Saharan Africa (IDA & IBRD countries),5.257987773,56.725470043,1371497000323.48,40.910506263,2.742121986,1184.741866978,0.859137333
Slovenia,1.57,79.421951220,48161250935.0166,101.685826854,0.902771384,18452.073138780,7.485854369
Liechtenstein,1.4,81.841463415,5082366478.08994,224.9625,,,1.528171362
"Hong Kong SAR, China",1.127,82.978048780,228637697575.04,6689.714285714,5.986311979,,5.791126534
Sudan,4.876,62.764,65634109236.7736,,0.821545219,,0.345245386
Kenya,4.369,60.959,40000088346.8041,73.849450047,5.494076785,798.055251340,0.289656060
Fiji,2.752,66.655,3140508835.9485,47.061740558,2.214559014,3221.781437262,1.420197065
Belarus,1.494,70.404878049,58665088956.0255,46.774682109,7.982069183,5505.328487194,6.642696660
United Kingdom,1.92,80.402439024,2475244321361.11,259.440189311,1.153474893,33896.392426690,7.857836486
Vanuatu,4.1,69.123,700804286.224354,19.377440525,-0.936911700,2547.979662614,0.512300443
"Macao SAR, China",1.093,82.704,28123640998.7253,18121.851677283,22.512786357,,2.616273301
Israel,3.03,81.602439024,233995676194.679,352.292051756,3.689579221,25867.472699340,9.035223254
Serbia,1.4,74.336585366,41819468691.8251,83.368808598,1.136803125,4408.770165618,6.302577983
Pre-demographic dividend,5.590877951,56.593456212,1016425763633.33,41.141021012,3.304658941,1022.172989382,0.471250540
Algeria,2.86,74.938,161205065469.309,15.105534189,1.746776463,3407.251170630,3.312560602
Burkina Faso,5.867,57.096,8979966766.07232,57.036611842,2.239434997,454.632897125,0.125717252
Tunisia,2.14,75.041,44050929160.2627,68.455484037,2.444381369,3150.684161260,2.600803611
British Virgin Islands,,,,185.293333333,,,6.200942649
Seychelles,2.17,73.197560976,969936525.298729,195.152173913,3.037276524,9148.702691287,4.942709146
Equatorial Guinea,5.209,55.622,16298542027.9965,33.641319073,-12.981689032,2673.790314520,4.958561484
Lebanon,1.966,78.36,38419626533.9967,484.170185728,4.982775320,6439.665357545,4.047494872
OECD members,1.787003795,79.285881167,44705617597884.4,36.041450266,2.260414444,29735.501747779,10.183856089
New Zealand,2.17,80.702439024,146583831538.331,16.523109643,0.416658972,26603.756895563,7.305005861
Suriname,2.61,70.465,4368398047.64333,3.391865385,3.972304211,5592.949122797,4.539301232
"Venezuela, RB",2.471,73.134,393192354510.653,32.243002097,-2.905260030,12662.486015494,6.648063252
Chile,1.884,78.779,218537551220.071,22.947950166,4.750223814,9146.420112834,4.234476106
Haiti,3.427,60.511,6622541528.56888,361.005878084,-4.595384917,628.631206304,0.213769340
Guatemala,3.375,71.481,41338008612.7727,136.528714072,0.660606009,2371.279228921,0.797292859
Sweden,1.98,81.451219512,495328620126.028,22.854525515,5.287589763,44707.624712413,5.547348052
Malta,1.36,81.397560976,8749171417.20801,1295.3375,3.035346348,,6.174949579
Mongolia,2.637,67.38,7189481824.07288,1.750750534,4.562359683,1822.244691620,5.081415981
Channel Islands,1.585,81.483,,806.737404823,,,
Tonga,3.913,70.059,369485198.817979,144.425,3.490026967,3346.562594139,1.128459600
"Egypt, Arab Rep.",3.233,70.349,218888324504.753,83.139519815,3.080864616,2258.173653432,2.449400701
Poland,1.41,76.246341463,479321460551.189,124.209200731,3.903262076,10719.981164453,8.313376825
Low & middle income,2.663668497,68.697247531,20698320383429.7,62.519794334,5.969211693,2871.130420777,3.229394471
Norway,1.95,80.997560976,428757038466.841,13.386262907,-0.544794330,68568.628142844,12.293454500
Marshall Islands,,,162164700,313.144444444,7.334043656,,1.821594578
Palau,,,183498800,39.032608696,2.132223806,,14.092063492
Japan,1.39,82.842682927,5700098114744.41,351.309834042,4.173027538,35086.782301190,9.148316038
Lithuania,1.5,73.268292683,37024718364.5516,49.418141205,3.632725953,,4.348616303
South Sudan,5.376,54.8,14602072425.3919,,1.431553891,,
European Union,1.611910771,79.725637304,17015366700189.5,118.910620987,1.944311354,28068.76932753,7.356304882
Oman,2.873,75.682,58642392717.8153,9.826927302,-0.889566128,10546.366537080,15.590664469
Italy,1.46,82.036585366,2134017843247.16,201.527901679,1.400915343,29459.533295623,6.838374570
West Bank and Gaza,4.437,72.788,8913100000,628.930398671,5.327861678,,0.537532609
Costa Rica,1.885,78.769,37268614024.3178,89.647042695,3.653246237,7299.732559064,1.653498575
United Arab Emirates,1.819,76.332,289787338325.391,120.388453957,-5.914810324,30537.816942303,18.808519731
South Asia (IDA & IBRD),2.745884201,66.848768532,2060818677119.47,343.448913047,6.179824090,1108.133171447,1.201634628
Samoa,4.338,71.663,663161528.405016,65.706360424,-0.273560947,2931.103712721,1.005743510
Afghanistan,5.977,61.028,15856574731.4411,44.704082039,11.264133238,477.307009334,0.289987630
